epoch,acc,loss,val_acc,val_loss
0,0.91988525047310254,0.23921456060137963,0.64471113591962048,1.9077148514291575
1,0.96599496219994274,0.11117590483608547,0.66424783700809376,2.1375300849242569
2,0.9817380352144377,0.059196676213889604,0.65392129500418639,2.4771722511519654
3,0.99121886369997203,0.029079503179578647,0.6583868266815518,2.3692769708404584
4,0.99359781696053739,0.02107253795181574,0.65866592241138711,2.597780544273018
5,0.99597677017105679,0.013591559468725528,0.66787608149595312,2.6232964042122164
6,0.99653652392947101,0.010110203969488356,0.66145687970974043,2.8182747366205509
7,0.9972362160649314,0.0078566160080448758,0.66843427295562374,2.8877493685555642
8,0.99720123145815842,0.0067937971104522652,0.6650851241975998,2.8555756400145706
9,0.99737615449202355,0.006034114124349379,0.66759698576611781,2.8037001482537454
10,0.99741113909879653,0.0057759164197298341,0.66173597543957574,2.9782854949431292
11,0.99783095438007274,0.0051772492532762195,0.6631314540887524,3.0058072993021994
12,0.99765603129616176,0.0047645155141308512,0.66396874127825845,3.0130644318274546
13,0.9979359082003918,0.0044343879417202007,0.66341054981858782,3.0880542542847058
14,0.99772600055975369,0.0045446262017492002,0.66592241138710573,3.0620057642336076
15,0.99769101595298071,0.0044716333524478305,0.66536421992743511,3.099733380577705
