epoch,acc,loss,val_acc,val_loss
0,0.58258105539926963,0.67369780770093868,0.59043659043659047,0.6622906881626579
1,0.6311506675370393,0.63351773670048606,0.6216216216216216,0.63908974568043952
2,0.66446280974305061,0.60489477521662338,0.65176715176715172,0.63455811854289257
3,0.68518753977088664,0.58457740850685058,0.66008316008316004,0.61588831012632905
4,0.71265098547677819,0.55253163234337221,0.66528066528066532,0.6368790670127894
5,0.73630006345153542,0.51394530906847002,0.67359667359667363,0.60607980570614073
6,0.75689764779158175,0.48882422997401309,0.64241164241164239,0.68576877023247063
7,0.77050222492642417,0.46135648263917939,0.67359667359667363,0.66422762749753572
8,0.7978385250430462,0.42580115012279834,0.66839916839916835,0.72216654334660124
9,0.81462174204603854,0.39671845306125481,0.67983367983367982,0.67339848485485954
